,username,text,date,hashtags
0,TheBabyOpossum,"#Tesla You ain't gotta say too much. From the look in your eye I can tell you want a cyber truck. --- You ain't gotta call me your boo, as bad as I want a cyber truck I know want a cyber truck toooo.",2022-04-12 04:21:46+00:00,['Tesla']
1,alvinfoo,Do u know what’s the meaning behind #Tesla’s logo? https://t.co/I7JX1o8A1t,2022-04-12 04:21:43+00:00,['Tesla']
2,TokunboAdesina,"🇺🇸  dollar is keeping no hostage, #Bitcoin drops below $40K, #Tesla tumbles below $1K   🥺",2022-04-12 04:20:06+00:00,"['Bitcoin', 'Tesla']"
3,qe3rus,Electric cars are the new Blood diamonds !@JustinTrudeau @JoeBiden @elonmusk DO BETTER #ElectricVehicles #savethechildren #ElonMusk #cobalt #NOTsustainable #Tesla @FoxNews @TuckerCarlson #TikTok https://t.co/RpG3JVRe8L,2022-04-12 04:19:59+00:00,"['ElectricVehicles', 'savethechildren', 'ElonMusk', 'cobalt', 'NOTsustainable', 'Tesla', 'TikTok']"
4,floriansemle,"Should #cars #drive like #humans or #robots? 

#Tesla forces the question 

https://t.co/QcMt8P0rdP #fintech #insurtech #insurance #AV #AutonomousVehicles @David_Ingram @NBCNews @CNBC @JeroenBartelse @nigelwalsh @floriansemle @andi_staub @insurtechforum @SabineVdL @rickhuckstep https://t.co/rQE2jA4TE8",2022-04-12 04:19:03+00:00,"['cars', 'drive', 'humans', 'robots', 'Tesla', 'fintech', 'insurtech']"
5,53ObEXkUKX9ZuOb,The #Tesla #Cybertruck is going to be “worth the wait” according to @woodhaus2 and the “Magnum Opus” of all their hard work in designing THE truck 🛻 we all want but didn’t know we needed. We can’t wait to see how it changes the world. @elonmusk 📹: @Tesla IG. https://t.co/9cJ41VI61i,2022-04-12 04:14:59+00:00,"['Tesla', 'Cybertruck']"
6,53ObEXkUKX9ZuOb,"Some day traders get triggered by Tesla today. 

Relax, sit back and enjoy Elon vs Twitter side show for the time being.

When the Tesla main show starts again, you will see why Yaman keeps saying ""Tesla will triple in 2022"".

#ElonMusk 
#Tesla
#TWTR https://t.co/QXHwPFB2uy",2022-04-12 04:14:45+00:00,[]
7,simatak5,"Thank you #Tesla Texas Team!!
#Hamster greeted the whole World at the Giga Texas  &amp; great opening party 💥💫 🐹

#HamsterCoin #HamsterPower #HamsterEcosystem https://t.co/94uSfsiEip",2022-04-12 04:14:19+00:00,"['Tesla', 'Hamster']"
8,Reenath,The #Tesla #Cybertruck is going to be “worth the wait” according to @woodhaus2 and the “Magnum Opus” of all their hard work in designing THE truck 🛻 we all want but didn’t know we needed. We can’t wait to see how it changes the world. @elonmusk 📹: @Tesla IG. https://t.co/9cJ41VI61i,2022-04-12 04:14:07+00:00,"['Tesla', 'Cybertruck']"
9,mvelasquez104,She got to ride in a model x! Omg I’m so jealous. #modelx #tesla @elonmusk 👋🏼🙏🏼❤️ https://t.co/pFBpt6TMo9,2022-04-12 04:11:08+00:00,"['modelx', 'tesla']"
